Tuned,Dataset,Regressor,Hyper_param_method,Validation_method,n_splits,score_train,score_test,MAE,MSE,RMSE,MedianAE,R2,best_params,best_score, cross_val_score,cross_val_score_valid,cross_val_score_mean,cross_val_score_vslid_mean,target_values,predicted_target_values,time_tuning
0,maxwell,CART,grid search,,5,1.0,0.5422283626739557,4780.538461538462,115907581.61538461,10766.03834357767,1742.0,54.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-43751585.51333333,"[-63361874.9, -54286331.7, -35532691.1, -24331204.2, -41245825.666666664]","[-63361874.9, -54286331.7, -35532691.1, -24331204.2, -41245825.666666664]",-43751585.51333333,-43751585.51333333,"[2826.0, 1450.0, 4620.0, 1100.0, 5578.0, 4557.0, 63694.0, 11039.0, 1651.0, 15052.0, 5931.0, 14000.0, 7871.0]","[4456.0, 1745.0, 2330.0, 963.0, 7320.0, 4047.0, 25910.0, 7320.0, 963.0, 10447.0, 2565.0, 18500.0, 8752.0]",0:00:00.002998
1,maxwell,CART,grid search,KFold,5,0.7633330521749466,0.12262081117418222,7886.909581646424,222152033.1195989,14904.765450002858,3169.3421052631575,12.0,"{'model__max_depth': 2, 'model__max_features': 'sqrt'}",-26319566.649368722,"[-53098895.648628294, -14254977.739555556, -6605644.959555556, -29701854.65811654, -27936460.24098766]","[-53098895.648628294, -14254977.739555556, -6605644.959555556, -29701854.65811654, -27936460.24098766]",-26319566.649368722,-26319566.649368722,"[2826.0, 1450.0, 4620.0, 1100.0, 5578.0, 4557.0, 63694.0, 11039.0, 1651.0, 15052.0, 5931.0, 14000.0, 7871.0]","[4701.6578947368425, 4701.6578947368425, 10588.666666666666, 4701.6578947368425, 4701.6578947368425, 4701.6578947368425, 17170.0, 4701.6578947368425, 4701.6578947368425, 17170.0, 4701.6578947368425, 38382.5, 4701.6578947368425]",0:00:02.157664
1,maxwell,CART,grid search,RepeatedKFold,5,0.9905236565649809,0.7886230524258763,4143.192307692308,53520552.18114911,7315.774202444271,2697.1111111111113,79.0,"{'model__max_depth': 5, 'model__max_features': None}",-46446234.57368623,"[-78107803.3621315, -83351943.54171471, -17524901.297, -77800182.87295918, -42012092.74777778]","[-52853992.58892586, -38294087.71913888, -58602591.880944446, -33221870.136359405, -52945660.73611111, -2332112.9717828804, -22953323.49662037, -3736193.2777777775, -82872630.30936112, -87346826.70931974, -6411477.309777778, -28936975.18036111, -18464534.461096942, -69377026.50722222, -138344215.32049382]",-59759384.76431663,-46446234.57368623,"[2826.0, 1450.0, 4620.0, 1100.0, 5578.0, 4557.0, 63694.0, 11039.0, 1651.0, 15052.0, 5931.0, 14000.0, 7871.0]","[4278.0, 2254.25, 2254.25, 2254.25, 8341.888888888889, 1798.0, 39479.0, 8341.888888888889, 2254.25, 8341.888888888889, 2565.0, 18500.0, 8341.888888888889]",0:00:00.385231
1,maxwell,CART,grid search,HoldOut,5,0.9999831322753414,-0.1678141271657887,8692.26923076923,295690034.5480769,17195.63998658023,2597.0,-17.0,"{'model__max_depth': 10, 'model__max_features': 'sqrt'}",-3562666.55,"[-80144798.6, -109848660.9, -7799825.884027777, -14112961.1, -41854480.777777776]",[-3562666.55],-50752145.45236111,-3562666.55,"[2826.0, 1450.0, 4620.0, 1100.0, 5578.0, 4557.0, 63694.0, 11039.0, 1651.0, 15052.0, 5931.0, 14000.0, 7871.0]","[900.25, 4047.0, 39479.0, 900.25, 2565.0, 4224.0, 13700.0, 7320.0, 963.0, 13700.0, 9700.0, 5279.0, 9700.0]",0:00:00.050790
1,maxwell,CART,grid search,RepeatedHoldOut,5,0.7633330521749466,0.12262081117418222,7886.909581646424,222152033.1195989,14904.765450002858,3169.3421052631575,12.0,"{'model__max_depth': 2, 'model__max_features': 'sqrt'}",-18459104.984714255,"[-53098895.648628294, -14254977.739555556, -6605644.959555556, -29701854.65811654, -27936460.24098766]","[-6396175.963334126, -11801434.616409037, -26209017.217117585, -13236608.470395422, -34652288.6563151]",-26319566.649368722,-18459104.984714255,"[2826.0, 1450.0, 4620.0, 1100.0, 5578.0, 4557.0, 63694.0, 11039.0, 1651.0, 15052.0, 5931.0, 14000.0, 7871.0]","[4701.6578947368425, 4701.6578947368425, 10588.666666666666, 4701.6578947368425, 4701.6578947368425, 4701.6578947368425, 17170.0, 4701.6578947368425, 4701.6578947368425, 17170.0, 4701.6578947368425, 38382.5, 4701.6578947368425]",0:00:00.153189
1,maxwell,CART,grid search,Bootstrap,5,0.7633330521749466,0.12262081117418222,7886.909581646424,222152033.1195989,14904.765450002858,3169.3421052631575,12.0,"{'model__max_depth': 2, 'model__max_features': 'sqrt'}",-48370586.757812604,"[-53098895.648628294, -14254977.739555556, -6605644.959555556, -29701854.65811654, -27936460.24098766]","[-6585908.836638277, -198460121.4853936, -40568372.323529415, -10315933.596143251, -27498271.036740094, -96409654.38287313, -95208500.82066563, -118070580.30824909, -94674627.64798841, -99690079.88132276, -32758837.989150517, -62669544.565789476, -52445983.39181286, -64786164.44897276, -23407716.07610034, -85797787.41982321, -45989181.00994132, -27065217.197956517, -25911001.938737676, -36289254.962883495, -134799787.01795048, -21853716.5244269, -90985325.5528409, -28806721.543796048, -38467754.35376759, -166822578.1623407, -51032721.48894026, -52905286.209615104, -148610500.19156086, -34251501.0437427, -36262584.080502726, -96790631.62232003, -77681115.58545758, -30212532.744441323, -51998646.88655382, -74587861.0763889, -141694809.80577397, -58012813.8618005, -45097915.59641396, -40465188.69505556, -102925748.25231795, -36265676.849095166, -25236622.241608076, -46946790.57167917, -75075466.63749309, -32604652.836033948, -31950604.15900486, -346265790.0231579, -67528469.72308053, -12615809.333333334]",-26319566.649368722,-68867167.23982412,"[2826.0, 1450.0, 4620.0, 1100.0, 5578.0, 4557.0, 63694.0, 11039.0, 1651.0, 15052.0, 5931.0, 14000.0, 7871.0]","[4701.6578947368425, 4701.6578947368425, 10588.666666666666, 4701.6578947368425, 4701.6578947368425, 4701.6578947368425, 17170.0, 4701.6578947368425, 4701.6578947368425, 17170.0, 4701.6578947368425, 38382.5, 4701.6578947368425]",0:00:01.127427
0,maxwell,CART,random search,,5,1.0,0.5422283626739557,4780.538461538462,115907581.61538461,10766.03834357767,1742.0,54.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-43751585.51333333,"[-63361874.9, -54286331.7, -35532691.1, -24331204.2, -41245825.666666664]","[-63361874.9, -54286331.7, -35532691.1, -24331204.2, -41245825.666666664]",-43751585.51333333,-43751585.51333333,"[2826.0, 1450.0, 4620.0, 1100.0, 5578.0, 4557.0, 63694.0, 11039.0, 1651.0, 15052.0, 5931.0, 14000.0, 7871.0]","[4456.0, 1745.0, 2330.0, 963.0, 7320.0, 4047.0, 25910.0, 7320.0, 963.0, 10447.0, 2565.0, 18500.0, 8752.0]",0:00:00.001000
1,maxwell,CART,random search,KFold,5,0.9879483082131844,-0.11964999072207427,9852.846153846154,283494895.9230769,16837.306670696384,3647.0,-12.0,"{'model__max_depth': 8, 'model__max_features': 0.3038654819865217}",-48056114.06886666,"[-117303751.6, -33684288.225, -51701573.836, -14419999.544444446, -23170957.138888888]","[-117303751.6, -33684288.225, -51701573.836, -14419999.544444446, -23170957.138888888]",-48056114.06886666,-48056114.06886666,"[2826.0, 1450.0, 4620.0, 1100.0, 5578.0, 4557.0, 63694.0, 11039.0, 1651.0, 15052.0, 5931.0, 14000.0, 7871.0]","[6816.0, 4456.0, 7451.0, 3440.0, 1060.0, 3850.0, 13700.0, 3600.0, 4456.0, 13700.0, 25910.0, 39479.0, 4224.0]",0:00:00.229813
1,maxwell,CART,random search,RepeatedKFold,5,0.9694899336062415,0.5164101359406927,5157.9532967032965,122444745.51599294,11065.475385901545,1142.0,52.0,"{'model__max_depth': 4, 'model__max_features': 0.959541228979397}",-41829448.12428888,"[-58277598.44498416, -81762354.36125, -17392942.275708616, -77498187.64536113, -36667307.24781357]","[-47496687.136279315, -36904997.019008264, -60484453.51273148, -19063370.029706787, -11774411.140303498, -29841699.895535868, -43248058.5768902, -5657262.973777777, -47675284.91037415, -72586540.87382253, -8603944.463894626, -2778013.508, -14627129.070031162, -58759115.997939624, -167940752.75603795]",-54319677.99502349,-41829448.12428888,"[2826.0, 1450.0, 4620.0, 1100.0, 5578.0, 4557.0, 63694.0, 11039.0, 1651.0, 15052.0, 5931.0, 14000.0, 7871.0]","[3968.0, 1675.0714285714287, 1675.0714285714287, 1675.0714285714287, 8492.0, 3968.0, 25910.0, 5429.25, 1675.0714285714287, 5429.25, 5429.25, 18500.0, 8492.0]",0:00:00.406926
1,maxwell,CART,random search,HoldOut,5,1.0,0.3457037150230545,6686.0,165667537.84615386,12871.190226476876,1766.0,35.0,"{'model__max_depth': 12, 'model__max_features': 0.316143697528991}",-5884664.2,"[-98584944.1, -163567140.2, -140015579.5, -50679724.8, -45402357.777777776]",[-5884664.2],-99649949.27555555,-5884664.2,"[2826.0, 1450.0, 4620.0, 1100.0, 5578.0, 4557.0, 63694.0, 11039.0, 1651.0, 15052.0, 5931.0, 14000.0, 7871.0]","[1060.0, 900.0, 10447.0, 2565.0, 4047.0, 1233.0, 25910.0, 7320.0, 1060.0, 13700.0, 3240.0, 39479.0, 8710.0]",0:00:00.053311
