Tuned,Dataset,Regressor,Hyper_param_method,Validation_method,n_splits,score_train,score_test,MAE,MSE,RMSE,MedianAE,R2,best_params,best_score, cross_val_score,cross_val_score_valid,cross_val_score_mean,cross_val_score_vslid_mean,target_values,predicted_target_values,time_tuning
0,nasa93,CART,grid search,,5,1.0,0.6102268649815001,250.61052631578946,192738.81684210527,439.0202920618878,126.59999999999991,61.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-2246371.7753619044,"[-1129455.8666666667, -64819.333333333336, -424649.28266666667, -5750288.742, -3862645.652142857]","[-1129455.8666666667, -64819.333333333336, -424649.28266666667, -5750288.742, -3862645.652142857]",-2246371.7753619044,-2246371.7753619044,"[278.0, 1200.0, 599.0, 72.0, 2400.0, 60.0, 8.4, 360.0, 973.0, 1772.5, 210.0, 72.0, 703.0, 1924.5, 600.0, 240.0, 1248.0, 25.2, 114.0]","[300.0, 2400.0, 430.0, 1350.0, 2460.0, 48.0, 8.4, 162.0, 1368.0, 1645.9, 239.0, 117.6, 750.0, 1645.9, 300.0, 48.0, 882.0, 36.0, 82.0]",0:00:00.002999
1,nasa93,CART,grid search,KFold,5,0.7873627201398758,0.29453813561427866,368.9279338549075,348843.6550725234,590.6298799354156,221.71891891891892,28.999999999999996,"{'model__max_depth': 2, 'model__max_features': 0.7}",-753082.3051895979,"[-1111004.5055975954, -22321.38662277092, -587150.3740155555, -925175.7758392644, -1119759.4838728034]","[-1111004.5055975954, -22321.38662277092, -587150.3740155555, -925175.7758392644, -1119759.4838728034]",-753082.3051895979,-753082.3051895979,"[278.0, 1200.0, 599.0, 72.0, 2400.0, 60.0, 8.4, 360.0, 973.0, 1772.5, 210.0, 72.0, 703.0, 1924.5, 600.0, 240.0, 1248.0, 25.2, 114.0]","[629.6625, 629.6625, 629.6625, 1497.95, 629.6625, 138.28108108108108, 138.28108108108108, 138.28108108108108, 629.6625, 1497.95, 138.28108108108108, 138.28108108108108, 629.6625, 1497.95, 629.6625, 629.6625, 629.6625, 138.28108108108108, 138.28108108108108]",0:00:00.332380
1,nasa93,CART,grid search,RepeatedKFold,5,0.5601034713961662,-2.326603169679805,804.5155911517925,1644971.141987123,1282.5642837640237,336.8318840579711,-233.0,"{'model__max_depth': 1, 'model__max_features': None}",-1239970.2915727159,"[-1983375.4537940635, -101879.14422222222, -712545.5902688615, -2390209.9742469136, -2524425.2846205425]","[-2218502.2294934574, -352590.0990127961, -77691.62649108368, -3577112.435736534, -410063.22365147574, -981572.1400130027, -4759109.78660353, -96337.46246639235, -66005.14727297668, -1469507.9232124633, -1063588.274006185, -107642.04381499994, -951856.3412899659, -337295.4820000001, -2130680.158525875]",-1542487.0894305208,-1239970.2915727159,"[278.0, 1200.0, 599.0, 72.0, 2400.0, 60.0, 8.4, 360.0, 973.0, 1772.5, 210.0, 72.0, 703.0, 1924.5, 600.0, 240.0, 1248.0, 25.2, 114.0]","[366.1681159420289, 366.1681159420289, 366.1681159420289, 3989.0199999999995, 366.1681159420289, 366.1681159420289, 366.1681159420289, 366.1681159420289, 366.1681159420289, 3989.0199999999995, 366.1681159420289, 366.1681159420289, 366.1681159420289, 3989.0199999999995, 366.1681159420289, 366.1681159420289, 366.1681159420289, 366.1681159420289, 366.1681159420289]",0:00:00.508867
1,nasa93,CART,grid search,HoldOut,5,0.9922036293480886,0.558661385395063,276.63446115288224,218237.41752148225,467.1588782432399,121.05,56.00000000000001,"{'model__max_depth': 5, 'model__max_features': 0.7}",-1112697.8735555557,"[-1149035.9404957823, -239204.14141256968, -417442.07248727634, -2231212.55702192, -3846962.7977972673]",[-1112697.8735555557],-1576771.501842963,-1112697.8735555557,"[278.0, 1200.0, 599.0, 72.0, 2400.0, 60.0, 8.4, 360.0, 973.0, 1772.5, 210.0, 72.0, 703.0, 1924.5, 600.0, 240.0, 1248.0, 25.2, 114.0]","[348.2, 2326.6666666666665, 378.7142857142857, 1350.0, 2326.6666666666665, 59.599999999999994, 59.599999999999994, 334.2, 1274.5, 1645.9, 215.33333333333334, 59.599999999999994, 378.7142857142857, 1645.9, 348.2, 118.95, 348.2, 59.599999999999994, 59.599999999999994]",0:00:00.066456
1,nasa93,CART,grid search,RepeatedHoldOut,5,0.9999977848910216,0.39173639341183086,332.5263157894737,300780.11368421046,548.4342382494099,169.0,39.0,"{'model__max_depth': 10, 'model__max_features': 1}",-991247.9965333336,"[-1125577.5066666668, -690805.0693333333, -806997.0406666666, -2190270.9393333336, -541423.1778571428]","[-1378212.3893333336, -381121.15, -395837.1306666666, -1449611.000666667, -1351458.312]",-1071014.7467714285,-991247.9965333336,"[278.0, 1200.0, 599.0, 72.0, 2400.0, 60.0, 8.4, 360.0, 973.0, 1772.5, 210.0, 72.0, 703.0, 1924.5, 600.0, 240.0, 1248.0, 25.2, 114.0]","[1368.0, 97.0, 430.0, 324.0, 756.0, 24.0, 8.4, 72.0, 1368.0, 1645.9, 48.0, 72.0, 409.0, 1645.9, 756.0, 48.0, 1181.0, 36.0, 60.0]",0:00:00.271914
1,nasa93,CART,grid search,Bootstrap,5,0.5601034713961662,-2.326603169679805,804.5155911517925,1644971.141987123,1282.5642837640237,336.831884057971,-233.0,"{'model__max_depth': 1, 'model__max_features': 0.7}",-1144037.926577273,"[-1983375.4537940635, -101879.14422222222, -712545.5902688615, -295937.8321705404, -2524425.2846205425]","[-1999539.0823103895, -1228535.2369552734, -168540.7700204061, -218180.71108198204, -1853494.9911694422, -3895950.691638474, -670358.4630831456, -241490.0992221069, -626378.1769273649, -2485774.2982703308, -692308.9015335931, -4451647.300189758, -2904160.5176278227, -319532.9591359042, -932503.9126081686, -413557.78023707477, -382229.3800536243, -209304.30305663537, -793114.3742468746, -733903.4935566478, -1335127.129821126, -1633809.5819714505, -508377.70294506475, -2203937.881433642, -2295835.446740631, -2503587.9109046534, -64380.218082016974, -301395.7183531172, -3612896.718335129, -1481320.3205623068, -209546.95714285714, -714208.4011785717, -1139018.0931999998, -102428.3866887574, -1713827.782688881, -338938.9466148877, -856887.9738451347, -1592058.4928851475, -1691173.0339514995, -1099481.8540979195, -698953.1314899331, -82088.20926458799, -376759.06974814803, -3183861.732097331, -817317.115690213, -202061.28863928566, -528873.9636267779, -1690076.702401434, -712102.1108884688, -1426044.5615898916]",-1123632.661015246,-1206737.6375960775,"[278.0, 1200.0, 599.0, 72.0, 2400.0, 60.0, 8.4, 360.0, 973.0, 1772.5, 210.0, 72.0, 703.0, 1924.5, 600.0, 240.0, 1248.0, 25.2, 114.0]","[366.168115942029, 366.168115942029, 366.168115942029, 3989.0199999999995, 366.168115942029, 366.168115942029, 366.168115942029, 366.168115942029, 366.168115942029, 3989.0199999999995, 366.168115942029, 366.168115942029, 366.168115942029, 3989.0199999999995, 366.168115942029, 366.168115942029, 366.168115942029, 366.168115942029, 366.168115942029]",0:00:01.422914
0,nasa93,CART,random search,,5,1.0,0.6102268649815001,250.61052631578946,192738.81684210527,439.0202920618878,126.59999999999991,61.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-2246371.7753619044,"[-1129455.8666666667, -64819.333333333336, -424649.28266666667, -5750288.742, -3862645.652142857]","[-1129455.8666666667, -64819.333333333336, -424649.28266666667, -5750288.742, -3862645.652142857]",-2246371.7753619044,-2246371.7753619044,"[278.0, 1200.0, 599.0, 72.0, 2400.0, 60.0, 8.4, 360.0, 973.0, 1772.5, 210.0, 72.0, 703.0, 1924.5, 600.0, 240.0, 1248.0, 25.2, 114.0]","[300.0, 2400.0, 430.0, 1350.0, 2460.0, 48.0, 8.4, 162.0, 1368.0, 1645.9, 239.0, 117.6, 750.0, 1645.9, 300.0, 48.0, 882.0, 36.0, 82.0]",0:00:00.001999
1,nasa93,CART,random search,KFold,5,0.9989090505358555,0.5135795865121484,257.4557644110276,240529.90460475525,490.4384819778677,60.0,51.0,"{'model__max_depth': 7, 'model__max_features': 0.8575800908021629}",-963515.8287371581,"[-1104455.4272562359, -82792.37567346939, -664701.1733333335, -1885341.7451296297, -1080288.4222931217]","[-1104455.4272562359, -82792.37567346939, -664701.1733333335, -1885341.7451296297, -1080288.4222931217]",-963515.8287371581,-963515.8287371581,"[278.0, 1200.0, 599.0, 72.0, 2400.0, 60.0, 8.4, 360.0, 973.0, 1772.5, 210.0, 72.0, 703.0, 1924.5, 600.0, 240.0, 1248.0, 25.2, 114.0]","[314.8666666666667, 2400.0, 430.0, 1645.9, 2460.0, 100.83636363636364, 18.533333333333335, 314.8666666666667, 1181.0, 1645.9, 208.25, 100.83636363636364, 750.0, 1645.9, 314.8666666666667, 100.83636363636364, 636.0, 40.74285714285714, 100.83636363636364]",0:00:00.206703
1,nasa93,CART,random search,RepeatedKFold,5,0.5601034713961662,-2.326603169679805,804.5155911517925,1644971.141987123,1282.5642837640237,336.831884057971,-233.0,"{'model__max_depth': 1, 'model__max_features': 0.7241719823467079}",-1291288.8536014834,"[-1983375.4537940635, -101879.14422222222, -712545.5902688615, -295937.8321705404, -2524425.2846205425]","[-2218502.2294934574, -352590.09901279607, -77691.62649108368, -3577112.435736534, -410063.22365147574, -981572.1400130027, -5528888.217035047, -96337.46246639235, -66005.14727297668, -1469507.9232124633, -1063588.2740061844, -107642.04381500004, -951856.3412899659, -337295.4820000001, -2130680.158525875]",-1123632.661015246,-1291288.8536014834,"[278.0, 1200.0, 599.0, 72.0, 2400.0, 60.0, 8.4, 360.0, 973.0, 1772.5, 210.0, 72.0, 703.0, 1924.5, 600.0, 240.0, 1248.0, 25.2, 114.0]","[366.168115942029, 366.168115942029, 366.168115942029, 3989.0199999999995, 366.168115942029, 366.168115942029, 366.168115942029, 366.168115942029, 366.168115942029, 3989.0199999999995, 366.168115942029, 366.168115942029, 366.168115942029, 3989.0199999999995, 366.168115942029, 366.168115942029, 366.168115942029, 366.168115942029, 366.168115942029]",0:00:00.545019
1,nasa93,CART,random search,HoldOut,5,1.0,0.44705954310559426,309.5842105263158,273423.38368421054,522.8990186299937,169.0,45.0,"{'model__max_depth': 24, 'model__max_features': 0.755621931064197}",-1096322.04,"[-1133669.3680000002, -238126.80800000002, -353593.36000000004, -2484400.5280000004, -3848904.349285714]",[-1096322.04],-1611738.882657143,-1096322.04,"[278.0, 1200.0, 599.0, 72.0, 2400.0, 60.0, 8.4, 360.0, 973.0, 1772.5, 210.0, 72.0, 703.0, 1924.5, 600.0, 240.0, 1248.0, 25.2, 114.0]","[252.0, 2460.0, 430.0, 1645.9, 2400.0, 60.0, 8.4, 360.0, 1368.0, 1645.9, 480.0, 117.6, 409.0, 1645.9, 300.0, 150.0, 571.4, 36.0, 480.0]",0:00:00.066691
