Tuned,Dataset,Regressor,Hyper_param_method,Validation_method,n_splits,score_train,score_test,MAE,MSE,RMSE,MedianAE,R2,best_params,best_score, cross_val_score,cross_val_score_valid,cross_val_score_mean,cross_val_score_vslid_mean,target_values,predicted_target_values,time_tuning
0,desharnais,CART,grid search,,5,1.0,-1.0213758228102585,3538.6875,22150952.8125,4706.479874864016,3433.5,-102.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-19972672.2025641,"[-40765832.84615385, -9742273.916666666, -37685716.25, -5733718.666666667, -5935819.333333333]","[-40765832.84615385, -9742273.916666666, -37685716.25, -5733718.666666667, -5935819.333333333]",-19972672.2025641,-19972672.2025641,"[1400.0, 2174.0, 3983.0, 4067.0, 1155.0, 8232.0, 5180.0, 6405.0, 9051.0, 4172.0, 3164.0, 14973.0, 3647.0, 6699.0, 4004.0, 4620.0]","[5880.0, 2569.0, 3626.0, 10577.0, 1617.0, 3948.0, 14434.0, 2429.0, 9135.0, 7854.0, 3948.0, 5775.0, 2989.0, 14434.0, 2429.0, 1435.0]",0:00:00.003019
1,desharnais,CART,grid search,KFold,5,0.5415531338210858,-0.7185956237207083,3086.5663265306125,18832980.060027074,4339.698153100867,1879.9897959183672,-72.0,"{'model__max_depth': 1, 'model__max_features': None}",-10981379.671291847,"[-18662354.625313982, -2823098.027469991, -11679575.025516974, -10327328.653935185, -11414542.024223099]","[-18662354.625313982, -2823098.027469991, -11679575.025516974, -10327328.653935185, -11414542.024223099]",-10981379.671291847,-10981379.671291847,"[1400.0, 2174.0, 3983.0, 4067.0, 1155.0, 8232.0, 5180.0, 6405.0, 9051.0, 4172.0, 3164.0, 14973.0, 3647.0, 6699.0, 4004.0, 4620.0]","[3157.4897959183672, 3157.4897959183672, 3157.4897959183672, 11214.0, 3157.4897959183672, 3157.4897959183672, 11214.0, 3157.4897959183672, 11214.0, 3157.4897959183672, 3157.4897959183672, 3157.4897959183672, 3157.4897959183672, 11214.0, 3157.4897959183672, 3157.4897959183672]",0:00:00.262504
1,desharnais,CART,grid search,RepeatedKFold,5,0.4612351299876598,-0.14104872542403912,2719.8054812834225,12504016.417140897,3536.101867472273,1508.5,-14.000000000000002,"{'model__max_depth': 1, 'model__max_features': 0.3}",-13623004.126218583,"[-23439526.124228396, -8143463.886389849, -20934560.45529514, -15754603.793382486, -13222381.25]","[-13677318.756263183, -34358660.096036494, -8002324.977262765, -6579478.659763313, -3632911.611952862, -7494316.880489753, -28552528.89738111, -5740183.699083046, -16495734.75511829, -9251211.037487522, -10531509.053579148, -8563165.60200968, -18087691.610990636, -8797989.540707868, -24580036.715153057]",-16298907.101859173,-13623004.126218583,"[1400.0, 2174.0, 3983.0, 4067.0, 1155.0, 8232.0, 5180.0, 6405.0, 9051.0, 4172.0, 3164.0, 14973.0, 3647.0, 6699.0, 4004.0, 4620.0]","[9497.35294117647, 2905.2272727272725, 2905.2272727272725, 2905.2272727272725, 2905.2272727272725, 9497.35294117647, 2905.2272727272725, 2905.2272727272725, 2905.2272727272725, 2905.2272727272725, 2905.2272727272725, 9497.35294117647, 2905.2272727272725, 2905.2272727272725, 2905.2272727272725, 9497.35294117647]",0:00:00.350819
1,desharnais,CART,grid search,HoldOut,5,1.0,-0.6029058776612313,2716.1875,17565210.8125,4191.08706811252,1648.5,-60.0,"{'model__max_depth': None, 'model__max_features': 0.7}",-9117171.307692308,"[-22247285.307692308, -10427501.333333334, -20076386.166666668, -8780203.833333334, -4710852.0]",[-9117171.307692308],-13248445.728205128,-9117171.307692308,"[1400.0, 2174.0, 3983.0, 4067.0, 1155.0, 8232.0, 5180.0, 6405.0, 9051.0, 4172.0, 3164.0, 14973.0, 3647.0, 6699.0, 4004.0, 4620.0]","[11361.0, 2331.0, 3542.0, 7252.0, 1876.0, 11361.0, 7252.0, 3542.0, 7252.0, 4977.0, 3437.0, 3948.0, 2149.0, 7252.0, 3542.0, 9135.0]",0:00:00.047592
1,desharnais,CART,grid search,RepeatedHoldOut,5,0.7770404784171717,-0.5358668657683363,2872.858664772728,16830573.555895425,4102.508203025976,1610.0,-54.0,"{'model__max_depth': 2, 'model__max_features': None}",-7624826.292086005,"[-39384065.394656934, -2220964.2260658634, -10279687.86094571, -12015485.890258603, -8478330.358278329]","[-10743624.34735043, -5755928.346666668, -5490390.598190706, -6976473.090640318, -9157715.077581903]",-14475706.74604109,-7624826.292086005,"[1400.0, 2174.0, 3983.0, 4067.0, 1155.0, 8232.0, 5180.0, 6405.0, 9051.0, 4172.0, 3164.0, 14973.0, 3647.0, 6699.0, 4004.0, 4620.0]","[2956.1041666666665, 2956.1041666666665, 2956.1041666666665, 10057.09090909091, 2956.1041666666665, 2956.1041666666665, 10057.09090909091, 2956.1041666666665, 10057.09090909091, 2956.1041666666665, 2956.1041666666665, 2956.1041666666665, 2956.1041666666665, 10057.09090909091, 2956.1041666666665, 2956.1041666666665]",0:00:00.154870
1,desharnais,CART,grid search,Bootstrap,5,0.7770404784171717,-0.5358668657683363,2872.858664772728,16830573.555895425,4102.508203025976,1610.0,-54.0,"{'model__max_depth': 2, 'model__max_features': None}",-13148446.079496395,"[-39384065.394656934, -2220964.2260658634, -10279687.86094571, -12015485.890258603, -8478330.358278329]","[-13584148.240979617, -12995477.21249239, -23852316.079926852, -21107815.03766672, -10411033.442673553, -6614144.36125, -10602890.888974505, -5698546.329913123, -14920134.158680558, -9305571.58846246, -10625042.622884957, -16155473.79636181, -7304402.529374832, -17067237.594915792, -9037650.464347826, -7046615.300063158, -21979519.833971087, -19377983.72400123, -14391824.048678197, -15046239.774762059, -19062039.000342414, -15646756.453786373, -6822650.768897234, -9962221.273619791, -17369231.4149961, -6894560.589913322, -19484342.8686663, -34841243.384980395, -12309467.269063182, -24315443.970674787, -5358896.249917355, -12798555.000301009, -4884948.625295572, -7512435.811877627, -15386775.439202836, -12147194.678277925, -6290921.31856864, -8606880.770472893, -26584933.2345679, -22142186.882279586, -10514529.00356884, -6345534.809187949, -15608724.661562499, -9121497.965709344, -10534905.142123016, -8929876.451101927, -16583556.980793549, -19189694.244090915, -8310264.7695912765, -12161841.624722224]",-14475706.74604109,-13456923.55377067,"[1400.0, 2174.0, 3983.0, 4067.0, 1155.0, 8232.0, 5180.0, 6405.0, 9051.0, 4172.0, 3164.0, 14973.0, 3647.0, 6699.0, 4004.0, 4620.0]","[2956.1041666666665, 2956.1041666666665, 2956.1041666666665, 10057.09090909091, 2956.1041666666665, 2956.1041666666665, 10057.09090909091, 2956.1041666666665, 10057.09090909091, 2956.1041666666665, 2956.1041666666665, 2956.1041666666665, 2956.1041666666665, 10057.09090909091, 2956.1041666666665, 2956.1041666666665]",0:00:01.058326
0,desharnais,CART,random search,,5,1.0,-1.0213758228102585,3538.6875,22150952.8125,4706.479874864016,3433.5,-102.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-19972672.2025641,"[-40765832.84615385, -9742273.916666666, -37685716.25, -5733718.666666667, -5935819.333333333]","[-40765832.84615385, -9742273.916666666, -37685716.25, -5733718.666666667, -5935819.333333333]",-19972672.2025641,-19972672.2025641,"[1400.0, 2174.0, 3983.0, 4067.0, 1155.0, 8232.0, 5180.0, 6405.0, 9051.0, 4172.0, 3164.0, 14973.0, 3647.0, 6699.0, 4004.0, 4620.0]","[5880.0, 2569.0, 3626.0, 10577.0, 1617.0, 3948.0, 14434.0, 2429.0, 9135.0, 7854.0, 3948.0, 5775.0, 2989.0, 14434.0, 2429.0, 1435.0]",0:00:00.001999
1,desharnais,CART,random search,KFold,5,0.9983329737637022,-0.09741764750329551,2761.1625,12025891.59875,3467.836731847392,2513.0,-10.0,"{'model__max_depth': 10, 'model__max_features': 0.33266596424953077}",-12866154.157345084,"[-24386241.78846154, -10111215.333333334, -16700894.583333334, -8736219.305555556, -4396199.776041667]","[-24386241.78846154, -10111215.333333334, -16700894.583333334, -8736219.305555556, -4396199.776041667]",-12866154.157345084,-12866154.157345084,"[1400.0, 2174.0, 3983.0, 4067.0, 1155.0, 8232.0, 5180.0, 6405.0, 9051.0, 4172.0, 3164.0, 14973.0, 3647.0, 6699.0, 4004.0, 4620.0]","[5880.0, 2449.3, 3626.0, 7854.0, 2449.3, 5880.0, 7854.0, 2800.0, 7252.0, 7854.0, 7252.0, 5880.0, 2275.0, 3626.0, 2429.0, 3948.0]",0:00:00.234042
1,desharnais,CART,random search,RepeatedKFold,5,0.686391774633766,0.1562282592431864,2157.3359375,9246349.839111328,3040.781123183865,1291.671875,16.0,"{'model__max_depth': 2, 'model__max_features': 0.42727747704497043}",-11290969.041171556,"[-15990016.876121353, -8550205.301241975, -26070301.668280806, -14710686.090809321, -10742132.527440827]","[-9707504.480186768, -26424594.32665341, -8953286.084933698, -6248155.462162779, -5324631.137088477, -9949498.47747863, -16966239.22444773, -4708716.728386503, -12766174.411743855, -9922855.084619341, -9742757.084283002, -7273622.339362003, -13705647.511707991, -12195444.868884318, -15475408.395634867]",-15212668.492778856,-11290969.041171556,"[1400.0, 2174.0, 3983.0, 4067.0, 1155.0, 8232.0, 5180.0, 6405.0, 9051.0, 4172.0, 3164.0, 14973.0, 3647.0, 6699.0, 4004.0, 4620.0]","[8594.6875, 2332.40625, 4432.75, 4432.75, 2332.40625, 8594.6875, 4432.75, 4432.75, 4432.75, 2332.40625, 4432.75, 8594.6875, 2332.40625, 4432.75, 4432.75, 8594.6875]",0:00:00.386423
1,desharnais,CART,random search,HoldOut,5,0.9973380271968522,0.033797268647180134,2225.39453125,10587992.033935547,3253.919487930755,1337.65625,3.0,"{'model__max_depth': 7, 'model__max_features': 0.8575800908021629}",-3853132.458867521,"[-23866940.884615384, -8092287.916666667, -14717114.270833334, -11324209.444074074, -25745858.854166668]",[-3853132.458867521],-16749282.274071226,-3853132.458867521,"[1400.0, 2174.0, 3983.0, 4067.0, 1155.0, 8232.0, 5180.0, 6405.0, 9051.0, 4172.0, 3164.0, 14973.0, 3647.0, 6699.0, 4004.0, 4620.0]","[5880.0, 2542.3125, 3584.0, 7252.0, 2542.3125, 9520.0, 7252.0, 3584.0, 3829.0, 3913.0, 3437.0, 5775.0, 2542.3125, 3584.0, 3913.0, 4277.0]",0:00:00.055048
